Id;Year;Country;Rider;Team;Time;Born;Died
1;1903;France;Maurice Garin;La Française;"94h 33' 14""";1928.10.28;1957.02.19
2;1904;France;Henri Cornet;Conte;"96h 05' 55""";1915.05.27;1941.03.18
3;1905;France;Louis Trousselier;Peugeot–Wolber;;1918.07.02;1939.04.24
4;1906;France;René Pottier;Peugeot–Wolber;;1920.07.26;1907.01.25
5;1907;France;Lucien Petit-Breton;Peugeot–Wolber;;1917.03.13;1917.12.20
6;1908;France;Lucien Petit-Breton;Peugeot–Wolber;;1917.03.13;1917.12.20
7;1909;Luxembourg;François Faber;Alcyon–Dunlop;;1912.12.03;1915.05.09
8;1910;France;Octave Lapize;Alcyon–Dunlop;;1912.03.07;1917.07.14
9;1911;France;Gustave Garrigou;Alcyon–Dunlop;;1915.04.06;1963.01.28
10;1912;Belgium;Odile Defraye;Alcyon–Dunlop;;1911.06.17;1965.08.21
11;1913;Belgium;Philippe Thys;Peugeot–Wolber;"197h 54' 00""";1910.03.23;1971.01.16
12;1914;Belgium;Philippe Thys;Peugeot–Wolber;"200h 28' 48""";1910.03.23;1971.01.16
13;1919;Belgium;Firmin Lambot;La Sportive;"231h 07' 15""";1913.10.17;1964.01.19
14;1920;Belgium;Philippe Thys;La Sportive;"228h 36' 13""";1910.03.23;1971.01.16
15;1921;Belgium;Léon Scieur;La Sportive;"221h 50' 26""";1911.10.13;1969.10.07
16;1922;Belgium;Firmin Lambot;Peugeot–Wolber;"222h 08' 06""";1913.10.17;1964.01.19
17;1923;France;Henri Pélissier;Automoto–Hutchinson;"222h 15' 30""";1910.12.07;1935.05.01
18;1924;Italy;Ottavio Bottecchia;Automoto;"226h 18' 21""";1905.05.30;1927.06.15
19;1925;Italy;Ottavio Bottecchia;Automoto–Hutchinson;"219h 10' 18""";1905.05.30;1927.06.15
20;1926;Belgium;Lucien Buysse;Automoto–Hutchinson;"238h 44' 25""";1907.04.19;1980.01.03
21;1927;Luxembourg;Nicolas Frantz;Alcyon–Dunlop;"198h 16' 42""";1900.02.25;1985.11.08
22;1928;Luxembourg;Nicolas Frantz;Alcyon–Dunlop;"192h 48' 58""";1900.02.25;1985.11.08
23;1929;Belgium;Maurice De Waele;Alcyon–Dunlop;"186h 39' 15""";1903.01.02;1952.02.14
24;1930;France;André Leducq;Alcyon–Dunlop;"172h 12' 16""";1904.02.27;1980.06.18
25;1931;France;Antonin Magne;France;"177h 10' 03""";1904.01.15;1983.09.08
26;1932;France;André Leducq;France;"154h 11' 49""";1904.02.27;1980.06.18
27;1933;France;Georges Speicher;France;"147h 51' 37""";1907.06.08;1978.01.24
28;1934;France;Antonin Magne;France;"147h 13' 58""";1904.01.15;1983.09.08
29;1935;Belgium;Romain Maes;Belgium;"141h 23' 00""";1912.08.10;1983.02.22
30;1936;Belgium;Sylvčre Maes;Belgium;"142h 47' 32""";1909.08.27;1966.12.05
31;1937;France;Roger Lapébie;France;"138h 58' 31""";1911.01.16;1996.10.12
32;1938;Italy;Gino Bartali;Italy;"148h 29' 12""";1914.07.18;2000.05.05
33;1939;Belgium;Sylvčre Maes;Belgium;"132h 03' 17""";1909.08.27;1966.12.05
34;1947;France;Jean Robic;France;"148h 11' 25""";1921.06.10;1980.10.06
35;1948;Italy;Gino Bartali;Italy;"147h 10' 36""";1914.07.18;2000.05.05
36;1949;Italy;Fausto Coppi;Italy;"149h 40' 49""";1919.09.15;1960.01.02
37;1950;Switzerland;Ferdinand Kübler;Switzerland;"145h 36' 56""";1919.07.24;2016.12.29
38;1951;Switzerland;Hugo Koblet;Switzerland;"142h 20' 14""";1925.03.21;1964.11.06
39;1952;Italy;Fausto Coppi;Italy;"151h 57' 20""";1919.09.15;1960.01.02
